item_id,project_id,project_name,project_country,project_city,equipment_code,equipment_name,equipment_category,supplier_name,supplier_country,origin_country,origin_city,origin_port,destination_port,transport_mode,incoterm,purchase_order_id,hs_code,quantity,unit_of_measure,baseline_due_date,latest_expected_delivery_date,actual_delivery_date,delivery_status,current_milestone,milestone_updated_at,criticality_score,item_value_usd,penalty_per_day_usd,data_source,created_at,updated_at
ITEM-0001,PRJ-IND-001,North Grid Expansion,India,Moradabad,TRF-500-01,500 kV Power Transformer,Transformer,ElektroWerk GmbH,Germany,Germany,Munich,Hamburg,Mundra,Sea,CIF,PO-IND-2026-1001,850423,2,units,2026-06-25,2026-07-08,,In Transit,Ocean Freight,2026-05-24,5,1850000,12000,ERP Upload,2026-05-01 09:00:00,2026-05-24 14:30:00
ITEM-0002,PRJ-IND-001,North Grid Expansion,India,Moradabad,SWG-33-04,33 kV GIS Switchgear Panel,Switchgear,Shenzhen Power Systems,China,China,Shenzhen,Yantian,Nhava Sheva,Sea,FOB,PO-IND-2026-1002,853720,14,panels,2026-06-18,2026-06-30,,Manufacturing,Factory Acceptance Test,2026-05-21,4,640000,6000,ERP Upload,2026-05-01 09:00:00,2026-05-21 11:00:00
ITEM-0003,PRJ-IND-001,North Grid Expansion,India,Moradabad,CBL-HV-11,High Voltage XLPE Cable Drum,Cable,Dubai Cable Co.,United Arab Emirates,United Arab Emirates,Dubai,Jebel Ali,Mundra,Sea,CIF,PO-IND-2026-1003,854460,22,drums,2026-07-10,2026-07-05,,Ready to Ship,Export Documentation,2026-05-25,3,410000,2500,Supplier Portal,2026-05-01 09:00:00,2026-05-25 10:15:00
ITEM-0004,PRJ-SGP-002,Singapore Data Center Phase 2,Singapore,Singapore,UPS-2MW-02,2 MW Modular UPS System,UPS,Delta Energy Taiwan,Taiwan,Taiwan,Taoyuan,Kaohsiung,Singapore,Sea,DDP,PO-SGP-2026-2001,850440,6,units,2026-06-05,2026-06-20,,In Transit,Port of Loading,2026-05-23,5,1320000,15000,ERP Upload,2026-05-02 08:20:00,2026-05-23 16:20:00
ITEM-0005,PRJ-SGP-002,Singapore Data Center Phase 2,Singapore,Singapore,BAT-LFP-01,LFP Battery Rack,Battery,CATL Energy Storage,China,China,Ningde,Xiamen,Singapore,Sea,CIF,PO-SGP-2026-2002,850760,48,racks,2026-06-28,2026-07-04,,Manufacturing,Cell Assembly,2026-05-20,5,980000,10000,Supplier Portal,2026-05-02 08:20:00,2026-05-20 15:40:00
ITEM-0006,PRJ-SGP-002,Singapore Data Center Phase 2,Singapore,Singapore,CRAC-80-07,Precision Cooling CRAC Unit,Cooling,Mitsubishi Thermal,Japan,Japan,Nagoya,Nagoya,Singapore,Sea,FOB,PO-SGP-2026-2003,841582,18,units,2026-07-20,2026-07-20,,On Track,Manufacturing,2026-05-26,3,540000,4000,ERP Upload,2026-05-02 08:20:00,2026-05-26 13:00:00
ITEM-0007,PRJ-UAE-003,Abu Dhabi Solar Park,United Arab Emirates,Abu Dhabi,INV-1500-18,1500 V Solar Inverter,Inverter,Sungrow Power Supply,China,China,Hefei,Shanghai,Jebel Ali,Sea,CIF,PO-UAE-2026-3001,850440,120,units,2026-06-15,2026-06-12,,Ready to Ship,Export Booking,2026-05-22,4,720000,5000,ERP Upload,2026-05-04 10:00:00,2026-05-22 09:10:00
ITEM-0008,PRJ-UAE-003,Abu Dhabi Solar Park,United Arab Emirates,Abu Dhabi,PV-MOD-540,540 W Solar PV Module,Solar Module,First Solar Malaysia,Malaysia,Malaysia,Kulim,Port Klang,Jebel Ali,Sea,FOB,PO-UAE-2026-3002,854143,35000,modules,2026-07-01,2026-07-18,,Manufacturing,Quality Inspection,2026-05-18,5,3150000,18000,Supplier Portal,2026-05-04 10:00:00,2026-05-18 18:30:00
ITEM-0009,PRJ-UAE-003,Abu Dhabi Solar Park,United Arab Emirates,Abu Dhabi,SCADA-01,SCADA Control Cabinet,Control System,Siemens AG,Germany,Germany,Nuremberg,Hamburg,Jebel Ali,Sea,DDP,PO-UAE-2026-3003,853710,5,cabinets,2026-08-01,2026-07-28,,On Track,Panel Assembly,2026-05-27,3,260000,2000,ERP Upload,2026-05-04 10:00:00,2026-05-27 12:45:00
ITEM-0010,PRJ-NLD-004,Rotterdam Hydrogen Terminal,Netherlands,Rotterdam,CMP-H2-06,Hydrogen Compressor Package,Compressor,Kobe Industrial Systems,Japan,Japan,Kobe,Kobe,Rotterdam,Sea,CIF,PO-NLD-2026-4001,841480,3,packages,2026-06-10,2026-06-28,,In Transit,Transshipment,2026-05-24,5,2250000,20000,ERP Upload,2026-05-05 09:30:00,2026-05-24 08:55:00
